series_cfg,gamma,seedkey,t,corr
a.20,G5_G5,e_e_e_e,0,(2.578148768737326+7.469721361414659e-10j)
a.20,G5_G5,e_e_e_e,1,(2.457304197683598-3.2544567905921744e-10j)
a.20,G5_G5,e_e_e_e,2,(1.251535244932815-9.608085356651143e-11j)
a.20,G5_G5,e_e_e_e,3,(2.457304197683597-3.254456178221235e-10j)
